Barcode,PIR22606020669T
Result,PASS
Panel ID,"4"
Program Name,\PIR_DUAL_SENSOR_TOP\PIR_DUAL_SENSOR_TOP.KYJOB
Machine ID,Line_1_Post_AOI
Inspection Operator ID,RAJNISH
Review Operator ID,
Test Start Time,20260602113357
Test End Time,20260602113405
Number of Tested Component,156
Number of False Call Component,1
Number of Defect Component,0
Number of Tested Inspection Item,1590
Number of False Call Inspection Item,0
Number of Defect Inspection Item,1Panel Barcode,Ref Des(CRD name),Lead,Comp Part #,Package Name,Machine Call,Repair Status,Operator Call
PIR22606020669T,R7,0,IKRECRSXXSM00045,IKRECRSXXSM00045,Coplanarity,FALSE,GOOD
